Apr 08 00:54:08  DbcCleanup called, will cleanup now
Apr 08 00:55:01  DbcCleanup called, will cleanup now
Apr 08 00:55:07  DbcCleanup called, will cleanup now
Apr 08 00:55:27  DbcCleanup called, will cleanup now
Apr 08 00:55:32  DbcCleanup called, will cleanup now
Apr 08 01:01:58  DbcCleanup called, will cleanup now
Apr 08 01:08:46  DbcCleanup called, will cleanup now
Apr 08 01:45:11  DbcCleanup called, will cleanup now
Apr 08 02:07:33  DbcCleanup called, will cleanup now
Apr 08 02:10:06  DbcCleanup called, will cleanup now
Apr 08 23:02:14  DbcCleanup called, will cleanup now
Apr 09 00:56:22  DbcCleanup called, will cleanup now
Apr 10 23:08:07  DbcCleanup called, will cleanup now
Apr 12 20:57:50  DbcCleanup called, will cleanup now
Apr 12 21:48:11  DbcCleanup called, will cleanup now
Apr 14 00:11:49  DbcCleanup called, will cleanup now
Apr 16 00:31:26  DbcCleanup called, will cleanup now
Apr 18 10:35:32  DbcCleanup called, will cleanup now
Apr 18 18:19:53  DbcCleanup called, will cleanup now
Apr 19 20:17:04  DbcCleanup called, will cleanup now
Apr 22 00:36:44  DbcCleanup called, will cleanup now
Apr 22 19:13:13  DbcCleanup called, will cleanup now
Apr 23 22:21:40  DbcCleanup called, will cleanup now
Apr 27 11:00:51  DbcCleanup called, will cleanup now
Apr 30 03:05:15  DbcCleanup called, will cleanup now
Apr 30 11:50:32  DbcCleanup called, will cleanup now
Apr 30 14:33:26  DbcCleanup called, will cleanup now
Apr 30 14:43:06  DbcCleanup called, will cleanup now
Apr 30 15:03:43  DbcCleanup called, will cleanup now
Apr 30 15:06:28  DbcCleanup called, will cleanup now
Apr 30 15:12:01  DbcCleanup called, will cleanup now
Apr 30 15:20:12  DbcCleanup called, will cleanup now
Apr 30 20:34:08  DbcCleanup called, will cleanup now
May 02 20:42:14  DbcCleanup called, will cleanup now
May 04 22:54:54  DbcCleanup called, will cleanup now
May 05 20:00:58  DbcCleanup called, will cleanup now
May 09 22:59:51  DbcCleanup called, will cleanup now
May 10 20:01:07  DbcCleanup called, will cleanup now
May 10 22:14:35  DbcCleanup called, will cleanup now
May 10 22:40:29  DbcCleanup called, will cleanup now
May 11 00:44:45  DbcCleanup called, will cleanup now
May 11 21:55:04  DbcCleanup called, will cleanup now
May 12 23:03:49  DbcCleanup called, will cleanup now
May 13 00:45:23  DbcCleanup called, will cleanup now
May 13 00:50:48  DbcCleanup called, will cleanup now
May 13 01:08:25  DbcCleanup called, will cleanup now
May 13 13:11:02  DbcCleanup called, will cleanup now
May 13 20:33:53  DbcCleanup called, will cleanup now
May 14 08:44:58  DbcCleanup called, will cleanup now
May 16 21:50:35  DbcCleanup called, will cleanup now
May 17 20:34:23  DbcCleanup called, will cleanup now
May 18 00:48:33  DbcCleanup called, will cleanup now
May 18 13:01:17  DbcCleanup called, will cleanup now
May 19 19:47:34  DbcCleanup called, will cleanup now
May 20 00:32:28  DbcCleanup called, will cleanup now
May 20 21:21:40  DbcCleanup called, will cleanup now
May 22 00:20:17  DbcCleanup called, will cleanup now
May 24 22:48:55  DbcCleanup called, will cleanup now
May 25 13:16:39  DbcCleanup called, will cleanup now
May 25 21:21:08  DbcCleanup called, will cleanup now
May 27 00:26:55  DbcCleanup called, will cleanup now
May 27 19:28:01  DbcCleanup called, will cleanup now
May 28 22:29:23  DbcCleanup called, will cleanup now
May 29 16:56:36  DbcCleanup called, will cleanup now
May 29 16:56:41  DbcCleanup called, will cleanup now
May 29 16:56:45  DbcCleanup called, will cleanup now
May 30 02:55:47  DbcCleanup called, will cleanup now
May 30 11:13:19  DbcCleanup called, will cleanup now
May 31 20:17:50  DbcCleanup called, will cleanup now
May 31 20:18:02  DbcCleanup called, will cleanup now
Jun 04 00:20:19  DbcCleanup called, will cleanup now
Jun 08 00:44:33  DbcCleanup called, will cleanup now
Jun 08 01:13:01  DbcCleanup called, will cleanup now
Jun 09 00:40:58  DbcCleanup called, will cleanup now
Jun 09 01:26:50  DbcCleanup called, will cleanup now
Jun 09 15:19:57  DbcCleanup called, will cleanup now
Jun 09 19:57:23  DbcCleanup called, will cleanup now
Jun 11 01:45:57  DbcCleanup called, will cleanup now
Jun 12 23:16:26  DbcCleanup called, will cleanup now
Jun 14 18:40:13  DbcCleanup called, will cleanup now
Jun 15 21:36:46  DbcCleanup called, will cleanup now
Jun 16 17:39:08  DbcCleanup called, will cleanup now
Jun 17 00:25:49  DbcCleanup called, will cleanup now
Jun 17 09:46:30  DbcCleanup called, will cleanup now
Jun 20 21:50:07  DbcCleanup called, will cleanup now
Jun 21 21:34:50  DbcCleanup called, will cleanup now
